id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
IEWMOqQs2pU,French ex-president Nicolas Sarkozy goes to jail | BBC News,"Nicolas Sarkozy has become the first French ex-president to go to jail, as he starts a five-year sentence for conspiring to fund his election campaign with money from late Libyan dictator Muammar Gaddafi.
 
Not since World War Two Nazi collaborationist leader Philippe Pétain was jailed for treason in 1945 has any French ex-leader gone behind bars.
 
Sarkozy, who was president from 2007-2012, has appealed against his jail term at La Santé prison, where he will occupy a cell roughly measuring 9 sq m (95 sq ft) in the jail's isolation wing.
 
Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#France #BBCNews",2025-10-21T11:01:00Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|india news,25,en,en-GB,https://i.ytimg.com/vi/IEWMOqQs2pU/default.jpg,https://i.ytimg.com/vi/IEWMOqQs2pU/hqdefault.jpg,PT5M40S,363177,3201,1888,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
wy2387BqJBA,Woman with Parkinson's disease plays clarinet during brain surgery. #BBCNews,,2025-10-21T10:30:40Z,,25,en,en-GB,https://i.ytimg.com/vi/wy2387BqJBA/default.jpg,https://i.ytimg.com/vi/wy2387BqJBA/hqdefault.jpg,PT33S,34463,436,11,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
Wl8vIC7LVCE,Sanae Takaichi becomes Japan's first female prime minister | BBC News,"Sanae Takaichi has been elected Japan's prime minister by parliament, making her the first woman to hold the office.
 
She won a clear majority on Monday - 237 votes in the powerful Lower House and another 125 in the Upper House - as leader of the ruling Liberal Democratic Party (LDP).
 
The 64-year-old is known as Japan’s “Iron Lady” - she’s an admirer of the UK's former PM Margaret Thatcher and is known for her staunch conservatism.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Japan #BBCNews",2025-10-21T09:59:51Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|india news,25,en,en-GB,https://i.ytimg.com/vi/Wl8vIC7LVCE/default.jpg,https://i.ytimg.com/vi/Wl8vIC7LVCE/hqdefault.jpg,PT8M3S,135785,3096,1005,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
U4Pnj-w2gSs,"Prince Andrew’s life “being eroded"" by past behaviour, says Giuffre memoir co-writer | BBC Newsnight","What is in Virginia Giuffre's memoir and what does it mean for Prince Andrew?
 
Amy Wallace, co-writer of Virginia Giuffre’s posthumous memoir, speaks to Newsnight’s Victoria Derbyshire about the book’s allegation relating to Virginia being sexually trafficked to Prince Andrew by Ghislaine Maxwell and Jeffrey Epstein.
 
Prince Andrew denies all of the allegations made against him.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Newsnight #BBCNews",2025-10-21T09:02:23Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|india news,25,en,en-GB,https://i.ytimg.com/vi/U4Pnj-w2gSs/default.jpg,https://i.ytimg.com/vi/U4Pnj-w2gSs/hqdefault.jpg,PT15M4S,560339,7735,2667,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
rQNZU9qaHJk,Sanae Takaichi wins historic vote to become Japan's first female PM. #BBCNews,,2025-10-21T06:53:41Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|india news,25,en,en-GB,https://i.ytimg.com/vi/rQNZU9qaHJk/default.jpg,https://i.ytimg.com/vi/rQNZU9qaHJk/hqdefault.jpg,PT25S,50949,717,44,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
FH220cWGhT0,What does Virginia Giuffre's memoir say about Prince Andrew? | BBC Newscast,"Today, we discuss the allegations made in Virginia Giuffre’s memoir against Prince Andrew.

Virginia Giuffre passed away in April after taking her own life, but finished writing the book before her death. The book goes into detail about the allegations she has made against Jeffrey Epstein, Prince Andrew and Ghislaine Maxwell. Prince Andrew denies all of the allegations made against him, but gave up his royal titles on Friday.

What does Giuffre say in the book, and how have the Royal Family responded? Adam is joined in the studio with BBC Newsnight presenter Victoria Derbyshire, and BBC royal correspondent Daniela Relph.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#BBCNews",2025-10-20T21:01:36Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|royal news|prince andrew|virginia giuffre|jeffrey epstein|epstein files|ghislaine maxwell|king charles|prince william|the queen|uk politics|donald trump,25,en,en-GB,https://i.ytimg.com/vi/FH220cWGhT0/default.jpg,https://i.ytimg.com/vi/FH220cWGhT0/hqdefault.jpg,PT24M50S,362490,4349,1734,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
jes_hmeOqqI,France reels after Louvre jewellery heist | BBC News,"The Louvre Museum in Paris remained closed on Monday while police investigate a brazen heist which targeted France's priceless crown jewels.
 
Thieves wielding power tools broke into the world's most visited museum in broad daylight, before escaping on scooters with eight extremely valuable items of jewellery.
 
France's Interior Minister Laurent Nuñez described the stolen jewels ""priceless"" and ""of immeasurable heritage value"".
 
Subscribe here: http://bit.ly/1rbfUog 
 
For more news, analysis and features visit: www.bbc.com/news 
 
#France #Paris #Louvre #BBCNews",2025-10-20T18:05:42Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|india news,25,en,en-GB,https://i.ytimg.com/vi/jes_hmeOqqI/default.jpg,https://i.ytimg.com/vi/jes_hmeOqqI/hqdefault.jpg,PT3M45S,140703,1022,452,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
HBj4Js2A3ww,How did thieves steal from the Louvre? #Louvre #Heist #Paris #BBCNews,,2025-10-20T17:00:16Z,,25,en,en-GB,https://i.ytimg.com/vi/HBj4Js2A3ww/default.jpg,https://i.ytimg.com/vi/HBj4Js2A3ww/hqdefault.jpg,PT1M14S,61433,813,106,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
p-_d8bAyXXM,Life-changing eye implant helps blind patients read again | BBC News,"A group of blind patients can now read again after being fitted with a life-changing implant at the back of the eye.
 
A surgeon who inserted the microchips in five patients at Moorfields Eye Hospital in London says the results of the international trial are ""astounding"".
 
Sheila Irvine, 70, who is registered blind, told the BBC it was ""out of this world"" to be able to read and do crosswords again. 
 
The technology offers hope to people with an advanced form of dry age-related macular degeneration (AMD), called geographic atrophy (GA), which affects more than 250,000 people in the UK and five million worldwide.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#BBCNews",2025-10-20T16:01:28Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|india news,25,en,en-GB,https://i.ytimg.com/vi/p-_d8bAyXXM/default.jpg,https://i.ytimg.com/vi/p-_d8bAyXXM/hqdefault.jpg,PT3M25S,49592,1164,153,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
n8BllbArP0U,Cate Blanchett on a mission to save seeds. #CateBlanchett #BBCNews,,2025-10-20T15:30:33Z,,25,en,en-GB,https://i.ytimg.com/vi/n8BllbArP0U/default.jpg,https://i.ytimg.com/vi/n8BllbArP0U/hqdefault.jpg,PT1M,19125,347,12,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
HyvlAecq3zE,Zelensky ready to join Trump-Putin talks after ‘frank’ White House meeting | BBC News,"Ukrainian President Volodymyr Zelensky has said he would be ready to join Donald Trump and Vladimir Putin at a proposed summit in Hungary if he were invited.

The US and Russian presidents announced on Thursday they planned to hold talks on the war in Ukraine in Budapest, possibly in the coming weeks.

In comments released on Monday, Zelensky told reporters: ""If it is an invitation in a format where we meet as three or, as it's called, shuttle diplomacy… then in one format or another, we will agree.”

Meanwhile, media reports have suggested his White House meeting with Trump on Friday descended into a ""shouting match"" - with the US side urging Ukraine to accept Russia's terms to end the war.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Ukraine #Russia #DonaldTrump #BBCNews",2025-10-20T14:46:55Z,bbc|bbc news|news|world news|breaking news|us news|world|america|usa|usa news|india news,25,en,en-GB,https://i.ytimg.com/vi/HyvlAecq3zE/default.jpg,https://i.ytimg.com/vi/HyvlAecq3zE/hqdefault.jpg,PT5M44S,135764,794,772,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
cpoaiciE0mA,Paris tourists react to Louvre jewellery heist. #Louvre #Paris #BBCNews,,2025-10-20T13:01:13Z,,25,en,en-GB,https://i.ytimg.com/vi/cpoaiciE0mA/default.jpg,https://i.ytimg.com/vi/cpoaiciE0mA/hqdefault.jpg,PT22S,24978,146,53,public,UC16niRr50-MSBwiO3YDb3RA,BBC News,"Welcome to the official BBC News YouTube channel. 

Interested in global news with an impartial perspective? Want to see behind-the-scenes footage directly from the front-line? Our YouTube channel has all this and more, bringing you specially selected clips from the world's most trusted news source.

For the latest news and analysis download the BBC News app or visit BBC.com. 
",GB,https://yt3.ggpht.com/v4JamQ9B-PUiJHjmZQs9UwTaoLQW8vijJMMpV5QvA2wHQ6iwWM8Q1s6O4jgTl0dtDigVWAi7SA=s800-c-k-c0x00ffffff-no-rj,18800000,27251
